,mic,ticker,isin,name,status,issuer_name,country_code,currency_code,industry_name,industry_code,super_sector_name,super_sector_code,sector_name,sector_code,sub_sector_name,sub_sector_code,industry_class,domicile,issuer_domicile,distributions,ter,quote_units,asset_class,locality
70,XJSE,MAPPSG,ZAE000153763,Newfunds Mapps Growth,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.4,cents,equity,ZA
71,XJSE,MAPPSP,ZAE000153771,Newfunds Mapps Protect,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.41,cents,equity,ZA
57,XJSE,NEWFSA,ZAE000104055,Newfunds Newsa Index,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,,cents,equity,ZA
72,XJSE,NEWPRP,ZAE000296752,Newfunds Reitway Global,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.69,cents,property,ZZ
73,XJSE,NFEDEF,ZAE000254868,Nf Vm Defensive Equity ETF,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.5,cents,equity,ZA
75,XJSE,NFEHGE,ZAE000254876,Nf Vm High Growth Eqetf,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.5,cents,equity,ZA
79,XJSE,NFEMOD,ZAE000254884,Nf Vm Moderate Equity ETF,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.5,cents,equity,ZA
69,XJSE,NFEMOM,ZAE000162236,Newfunds Equity Mom ETF,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.5,cents,equity,ZA
76,XJSE,NFEVAL,ZAE000252466,Nf Equity Value ETF,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.5,cents,equity,ZA
78,XJSE,NFEVOL,ZAE000252458,Nf Low Volatility ETF,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.5,cents,equity,ZA
68,XJSE,NFGOVI,ZAE000161949,Newfunds Govi ETF,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,0.32,cents,bond,ZA
81,XJSE,NFILBI,ZAE000162244,Newfunds Ilbi ETF,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,False,0.35,cents,bond,ZA
77,XJSE,NFNAMB,ZAE000276770,Nfnam 10 Bonds,delisted,Newfunds CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,True,0.14,cents,bond,NA
