mic,ticker,isin,name,status,issuer_name,country_code,currency_code,industry_name,industry_code,super_sector_name,super_sector_code,sector_name,sector_code,sub_sector_name,sub_sector_code,industry_class,domicile,issuer_domicile,distributions,ter,quote_units,asset_class,locality
XJSE,ASHEQF,ZAE000289872,Ashburton Global 1200 Fo,delisted,Ashburton Management Company (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,TRUE,,cents,equity,ZZ
XJSE,ASHGEQ,ZAE000249967,Ashburton Gbl 1200Eq ETF,delisted,Ashburton Management Company (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,TRUE,,cents,equity,ZZ
XJSE,ASHINF,ZAE000215331,Ashburton Inflation ETF,delisted,Ashburton Management Company (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,TRUE,,cents,bond,ZA
XJSE,ASHMID,ZAE000215349,Ashburton Mid Cap ETF,delisted,Ashburton Management Company (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,TRUE,,cents,equity,ZA
XJSE,ASHT40,ZAE000215364,Ashburton Top 40 ETF,delisted,Ashburton Management Company (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,TRUE,,cents,equity,ZA
XJSE,ASHWGB,ZAE000254413,Ashburton World Govb ETF,delisted,Ashburton Management Company (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,TRUE,,cents,bond,ZZ
XJSE,BBET40,ZAE000144507,Bettabeta Equity Wted Top 40,delisted,Bettabeta CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,TRUE,,cents,equity,ZA
XJSE,BGREEN,ZAE000162277,Bettabeta Cis Bgreen,delisted,Bettabeta CIS,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,TRUE,,cents,equity,ZA
XJSE,CGREEN,ZAE000217121,Coreshares Green,delisted,Coreshares Index Tracker Managers (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,TRUE,,cents,equity,ZA
XJSE,CSEW40,ZAE000217139,Coreshares Ew Top 40,delisted,Coreshares Index Tracker Managers (Pty) Ltd,ZA,ZAR,Exchange Traded Funds,A140,Exchange Traded Products,A300,Exchange Traded Funds,A310,Exchange Traded Funds,A311,icb,ZA,ZA,TRUE,,cents,equity,ZA
